"UNIVERSITY OF TECHNOLOGY, MAURITIUS",,,,,,,,,,,,,,,,,,,,,
SCHOOL OF INNOVATIVE TECHNOLOGIES AND ENGINEERING,,,,,,,,,,,,,,,,,,,,,
Academic Year 2025 Semester 2 and Academic Year 2025/2026 Semester 1,,,,,,,,,,,,,,,,,,,,,
Semester start date: 21 October 2025,,,,,,,,,,,,,,,,,,,,,
Last date for submission of Exemption: 10 November 2025,,,,,,,,,,,,,,,,,,,,,
Semester tentative end date/s: 01 February 2026 (Tentative) (week 12) & 22 February 2026 (week 15),,,,,,,,,,,,,,,,,,,,,
"Classes are conducted at BPML Building, La Tour Koenig and Practicals in Laboraties on UTM Campus",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Lecture / Practicals,,
Dept,Programme,Programme Document Version,"Level Sem
e.g L1S2",Cohort,Semester Duration (15 / 12 Weeks),No. of Students,"Head Of Dept
SURNAME Name (Title)","Programme Director
SURNAME Name (Title)",PROGRAMME COORDINATOR,Module Code,Module Title,L + T/P,No. of Credits,Weightage,"Resource Person
SURNAME Name (Title)",FT/PT,"Face to Face
(Odd / Even Weeks?) ","Online Sessions
(Odd / Even Weeks?) ",Day,Time ,Venue
BISE,BSc (Hons) Software Engineering,8,L2S2,BSE/24A/FT1,15 Weeks,34,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),LUCHOO Mevin (Mr),SEM2121C,Agile Project Management,2+1+7,6,50:50:00,FOOGOOA Ravi (Dr),FT,Full F2F,N/A,Wednesday,11.00 - 14.00,BPML 0.08
BISE,BSc (Hons) Software Engineering,8,L2S2,BSE/24A/FT1,15 Weeks,34,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),LUCHOO Mevin (Mr),MCT2104C,Mobile Application Development,2+1+7,6,100% CWK,DHUNY Riyad (Dr),FT,Odd,Even,Thursday,13:00 - 16:00,DML Lab
BISE,BSc (Hons) Software Engineering,8,L2S2,BSE/24A/FT1,15 Weeks,34,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),LUCHOO Mevin (Mr),SEM2124C,Research and Innovation,2+1+7,6,100% CWK,PANCHOO Shireen Assoc Prof (Dr),FT,Even,Odd,Tuesday,09:00 - 12:00,BPML 0.11
BISE,BSc (Hons) Software Engineering,8,L2S2,BSE/24A/FT2,15 Weeks,23,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),LUCHOO Mevin (Mr),WAT2140C,Web Service Development,2+1+7,6,100% CWK,LUCHMUN Sadhveer Sharma (Mr),PT,Even,Odd,Saturday,08:00 - 11:00,BPML 2.08
BISE,BSc (Hons) Software Engineering,8,L2S2,BSE/24A/FT2,15 Weeks,23,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),LUCHOO Mevin (Mr),SECU2130C,Software Security,2+1+7,6,100% CWK,BHURTUN Roshnee (Ms),PT,Even,Odd,Saturday,12:00 - 16:00,BPML 0.08
BISE,BSc (Hons) Software Engineering,8,L2S2,BSE/24A/FT2,15 Weeks,23,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),LUCHOO Mevin (Mr),SEM2121C,Agile Project Management,2+1+7,6,50:50:00,FOOGOOA Ravi (Dr),FT,Full F2F,N/A,Friday,11.00 - 14.00,BPML 1.09
BISE,BSc (Hons) Software Engineering,8,L2S2,BSE/24A/FT2,15 Weeks,23,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),LUCHOO Mevin (Mr),MCT2104C,Mobile Application Development,2+1+7,6,100% CWK,DHUNY Riyad (Dr),FT,Odd,Even,Thursday,09:00 - 12:00,DML Lab
BISE,BSc (Hons) Software Engineering,8,L2S2,BSE/24A/FT2,15 Weeks,23,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),LUCHOO Mevin (Mr),SEM2124C,Research and Innovation,2+1+7,6,100% CWK,PANCHOO Shireen Assoc Prof (Dr),FT,Even,Odd,Wednesday,09:00 - 12:00,BPML 2.08
BISE,BSc (Hons) Software Engineering,8.1,L2S1,BSE/24B/FT,12 Weeks,18,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),FOOGOOA Ravi (Dr),PROG2110C,Data Structures & Algorithms,2+1+7,6,100% CWK,TULSI Ashwin (Mr),FT,Even,Odd,Thursday,13:00 - 16:00,Lab G0.3
BISE,BSc (Hons) Software Engineering,8.1,L2S1,BSE/24B/FT,12 Weeks,18,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),FOOGOOA Ravi (Dr),WAT2133C,Web Application Development,2+1+7,6,50:50:00,KANAKSABEE Pillay (Mr),FT,Full F2F,N/A,Tuesday ,09:00 - 12:00,Lab G1.3
